123I IODE IOBENGUANE 74 MBQ/ML  INJ,NULL,NULL
123I IODE IOFUPANE 74 MBQ/ML INJ,NULL,NULL
123I SODIUM IODURE SOL INJ,NULL,NULL
123L IODE IOFLUPANE 74MBQ/ML SOL INJ,NULL,NULL
131I SODIUM IODURE GELULE,NULL,NULL
131I SODIUM IODURE SOL BUV,NULL,NULL
18 F FLUDESOXYGLUCOSE 600MBQ/ML INJ,NULL,NULL
18 FLT 222MBQ/ML SOL INJ FL,FLUOROTHYMIDINE F-18,FLUOROTHYMIDINE F-18
18F FLUDESOXYGLUCOSE 250 MBQ/ML INJ,NULL,NULL
3.4 DIAMINOPYRIDINE 10MG CPR NSFP,AMINOPYRIDINE,3.4 DIAMINODYPIRIDINE PHOSPHATE
51CR CHROME EDETATE 37 MBQ/ML INJ,NULL,NULL
51CR SODIUM CHROMATE 37 MBQ/ML INJ,NULL,NULL
57CO COBALT CYANOBALAMINE 18.5 MBQ,NULL,NULL
5-AMINOLEVULINIQUE EMPLATRE MEDI,NULL,NULL
68 GA / 68 GE 1.1 GBQ GENERATEUR,NULL,NULL
6-FLUORO-(18F)-L-DOPA 0.3GBq/ML SOL,NULL,NULL
6-IODOMETHYLNORCHOLESTEROL SOL INJ,NULL,NULL
99MTC TECHNETIUM DEPREOTIDE 47,NULL,NULL
A 313 45000UI/0.75ML SOL INJ NSFP,NULL,NULL
A 313 50 000 UI CAPSULE,RETINOL,RETINOL BASE
A 313 50000UI/1ML SOL NSFP,RETINOL,RETINOL BASE
A 313 POMMADE,VITAMINE A,VITAMINE A SYNTHETIQUE CONCENTRAT
A T S SOL FL 45ML NSFP,NULL,NULL
ABACAVIR 20MG/ML SOL BUV,NULL,NULL
ABACAVIR 300MG CPR,NULL,NULL
ABACAVIR 600MG/LAMIVUDINE 300MG CPR,NULL,NULL
ABACAVIR/LAMIVUDINE/ZIDOVUDINE CPR,NULL,NULL
ABATACEPT 125MG PDR INJ,NULL,NULL
ABATACEPT 250MG PDR INJ,NULL,NULL
ABBOTICINE 1% POMMADE NSFP,NULL,NULL
ABBOTICINE 200MG CPR NSFP,NULL,exprimé(e) en ERYTHROMYCINE BASE
ABBOTICINE 200MG/5ML GRANULE FL NSFP,NULL,exprimé(e) en ERYTHROMYCINE BASE
ABCIXIMAB 10MG/5ML SOL INJ,NULL,NULL
ABCYS PDR ET SOL AURICULAIRE NSFP,NULL,NULL
ABDOSCAN 23.4MG GRANULES SAC NSFP,NULL,exprimé(e) en FER
ABELCET 5MG/ML SUSP INJ FL 10ML NC,AMPHOTERICINE B,AMPHOTERICINE B
ABELCET 5MG/ML SUSP INJ FL 20ML,AMPHOTERICINE B,AMPHOTERICINE B
ABELITE PDR SUSP BUV NSFP,NULL,NULL
ABELITE SUSP BUV NC,NULL,NULL
ABEREL 0.025% GEL NSFP,NULL,NULL
ABEREL 0.1% SOL NSFP,NULL,NULL
ABEREL 0.2% SOL NSFP,NULL,NULL
ABEREL 0.3% SOL NSFP,NULL,NULL
ABEREL 0.7MG TAMPON NSFP,NULL,NULL
ABI 75% EMULSION 175G NSFP,NULL,NULL
ABI 75% EMULSION 85G NSFP,NULL,NULL
ABILIFY 10MG CPR,ARIPIPRAZOLE,ARIPIPRAZOLE
ABILIFY 10MG CPR DISP,ARIPIPRAZOLE,ARIPIPRAZOLE
