123I IODE IOBENGUANE 74 MBQ/ML  INJ	SOLUTION	SOLUTION INJECTABLE
123I IODE IOFUPANE 74 MBQ/ML INJ	SOLUTION	SOLUTION INJECTABLE
123I SODIUM IODURE SOL INJ	SOLUTION	SOLUTION INJECTABLE
123L IODE IOFLUPANE 74MBQ/ML SOL INJ	SOLUTION	SOLUTION INJECTABLE
131I SODIUM IODURE GELULE	GELULE	GELULE
131I SODIUM IODURE GELULE	GELULE	NE PAS ECRASER
131I SODIUM IODURE GELULE	GELULE	NE PAS OUVRIR
131I SODIUM IODURE GELULE	GELULE	ORAL(E)
131I SODIUM IODURE SOL BUV	SOLUTION	SOLUTION BUVABLE
18 F FLUDESOXYGLUCOSE 600MBQ/ML INJ	SOLUTION	SOLUTION INJECTABLE
18 FLT 222MBQ/ML SOL INJ FL	SOLUTION	SOLUTION INJECTABLE
18F FLUDESOXYGLUCOSE 250 MBQ/ML INJ	SOLUTION	SOLUTION INJECTABLE
3.4 DIAMINOPYRIDINE 10MG CPR NSFP	COMPRIME	BISECABLE
3.4 DIAMINOPYRIDINE 10MG CPR NSFP	COMPRIME	COMPRIME
3.4 DIAMINOPYRIDINE 10MG CPR NSFP	COMPRIME	ORAL(E)
3.4 DIAMINOPYRIDINE 10MG CPR NSFP	COMPRIME	SECABLE
51CR CHROME EDETATE 37 MBQ/ML INJ	SOLUTION	SOLUTION INJECTABLE
51CR SODIUM CHROMATE 37 MBQ/ML INJ	SOLUTION	SOLUTION POUR MARQUAGE
57CO COBALT CYANOBALAMINE 18.5 MBQ	NULL	NULL
5-AMINOLEVULINIQUE EMPLATRE MEDI	EMPLATRE	EMPLATRE MEDICAMENTEUX
68 GA / 68 GE 1.1 GBQ GENERATEUR	TROUSSE RADIO-PHARMACEUTIQUE	TROUSSE POUR PREP RADIOPHARMACEUTIQUE
6-FLUORO-(18F)-L-DOPA 0.3GBq/ML SOL	NULL	NULL
6-IODOMETHYLNORCHOLESTEROL SOL INJ	NULL	NULL
99MTC TECHNETIUM DEPREOTIDE 47	TROUSSE RADIO-PHARMACEUTIQUE	POUDRE POUR SOLUTION INJECTABLE
A 313 45000UI/0.75ML SOL INJ NSFP	SOLUTION	SOLUTION INJECTABLE
A 313 50 000 UI CAPSULE	CAPSULE MOLLE	CAPSULE MOLLE
A 313 50 000 UI CAPSULE	CAPSULE MOLLE	ORAL(E)
A 313 50000UI/1ML SOL NSFP	SOLUTION	SOLUTION POUR APPLICATION CUTANEE
A 313 POMMADE	POMMADE	POMMADE
A 313 POMMADE	POMMADE	POUR APPLICATION CUTANEE
A T S SOL FL 45ML NSFP	SOLUTION	SOLUTION POUR APPLICATION CUTANEE
ABACAVIR 20MG/ML SOL BUV	SOLUTION	SOLUTION BUVABLE
ABACAVIR 300MG CPR	NULL	NULL
ABACAVIR 600MG/LAMIVUDINE 300MG CPR	NULL	NULL
ABACAVIR/LAMIVUDINE/ZIDOVUDINE CPR	NULL	NULL
ABATACEPT 125MG PDR INJ	POUDRE	LYOPHILISE(E)
ABATACEPT 125MG PDR INJ	POUDRE	POUDRE PR SOL A DILUER POUR PERFUSION
ABATACEPT 250MG PDR INJ	NULL	NULL
ABBOTICINE 1% POMMADE NSFP	POMMADE	POMMADE
ABBOTICINE 1% POMMADE NSFP	POMMADE	POUR APPLICATION CUTANEE
ABBOTICINE 200MG CPR NSFP	COMPRIME	COMPRIME
ABBOTICINE 200MG CPR NSFP	COMPRIME	ORAL(E)
ABBOTICINE 200MG/5ML GRANULE FL NSFP	GRANULES	GRANULES POUR SUSPENSION BUVABLE
ABCIXIMAB 10MG/5ML SOL INJ	NULL	NULL
ABCYS PDR ET SOL AURICULAIRE NSFP	POUDRE	POUDRE AURICULAIRE
ABDOSCAN 23.4MG GRANULES SAC NSFP	GRANULES	GRANULES POUR SUSPENSION BUVABLE
ABDOSCAN 23.4MG GRANULES SAC NSFP	GRANULES	GRANULES POUR SUSPENSION RECTALE
ABELCET 5MG/ML SUSP INJ FL 10ML NC	SUSPENSION	SUSPENSION INJECTABLE
ABELCET 5MG/ML SUSP INJ FL 20ML	SUSPENSION	SUSPENSION INJECTABLE
ABELITE PDR SUSP BUV NSFP	POUDRE	POUDRE POUR SUSPENSION BUVABLE
ABELITE SUSP BUV NC	POUDRE	POUDRE POUR SUSPENSION BUVABLE
ABEREL 0.025% GEL NSFP	GEL	GEL
ABEREL 0.025% GEL NSFP	GEL	POUR APPLICATION CUTANEE
ABEREL 0.1% SOL NSFP	SOLUTION	SOLUTION POUR APPLICATION CUTANEE
ABEREL 0.2% SOL NSFP	SOLUTION	SOLUTION POUR APPLICATION CUTANEE
ABEREL 0.3% SOL NSFP	SOLUTION	SOLUTION POUR APPLICATION CUTANEE
ABEREL 0.7MG TAMPON NSFP	COMPRESSE	COMPRESSE IMPREGNEE
ABI 75% EMULSION 175G NSFP	EMULSION	EMULSION POUR APPLICATION CUTANEE
ABI 75% EMULSION 85G NSFP	EMULSION	EMULSION POUR APPLICATION CUTANEE
ABILIFY 10MG CPR	COMPRIME	COMPRIME
ABILIFY 10MG CPR	COMPRIME	NE PAS ECRASER
ABILIFY 10MG CPR	COMPRIME	ORAL(E)
ABILIFY 10MG CPR DISP	COMPRIME	COMPRIME ORODISPERSIBLE
ABILIFY 15MG CPR	COMPRIME	COMPRIME
ABILIFY 15MG CPR	COMPRIME	NE PAS ECRASER
ABILIFY 15MG CPR	COMPRIME	ORAL(E)
ABILIFY 15MG CPR DISP	COMPRIME	COMPRIME ORODISPERSIBLE
ABILIFY 5MG CPR	COMPRIME	COMPRIME
ABILIFY 5MG CPR	COMPRIME	NE PAS ECRASER
ABILIFY 5MG CPR	COMPRIME	ORAL(E)
ABILIFY 7.5MG/ML SOL INJ FL	NULL	NULL
ABILIFY MAINTENA LP 300MG/ML SOL INJ	POUDRE	POUDRE ET SOLVANT POUR SUSPENSION INJ
ABILIFY MAINTENA LP 400MG/ML SOL INJ	POUDRE	POUDRE ET SOLVANT POUR SUSPENSION INJ
ABIOCINE 250MG CPR NSFP	COMPRIME	COMPRIME
ABIOCINE 250MG CPR NSFP	COMPRIME	ORAL(E)
ABIOSAN 250MG CPR NSFP	COMPRIME	COMPRIME ENROBE
ABIRATERONE 250MG CPR	COMPRIME	ORAL(E)
ABIRATERONE JAC 250MG CPR NSFP	NULL	NULL
ABLAVAR 0.25 MMOL/ML SOL INJ NSFP	SOLUTION	SOLUTION INJECTABLE
ABRAXANE 100MG PDR INJ	POUDRE	POUDRE POUR SUSPENSION INJECTABLE
ABSEAMED 10 000UI/1ML SOL INJ SER NC	SOLUTION	SOLUTION INJECTABLE
ABSEAMED 1000UI/0.5ML SOL INJ NC	SOLUTION	SOLUTION INJECTABLE
ABSEAMED 2000UI/1ML SOL INJ SER NC	SOLUTION	SOLUTION INJECTABLE
ABSEAMED 3000UI/0.3ML SOL INJ SER NC	SOLUTION	SOLUTION INJECTABLE
ABSEAMED 4000UI/0.4ML SOL INJ SER NC	SOLUTION	SOLUTION INJECTABLE
ABSEAMED 5000UI/0.5ML SOL INJ SER NC	SOLUTION	SOLUTION INJECTABLE
ABSEAMED 6000UI/0.6ML SOL INJ SER NC	SOLUTION	SOLUTION INJECTABLE
ABSEAMED 8000UI/0.8ML SOL INJ SER NC	SOLUTION	SOLUTION INJECTABLE
ABSTRAL 100MICROG CPR	COMPRIME	COMPRIME SUBLINGUAL
ABSTRAL 100MICROG CPR	COMPRIME	NE PAS ECRASER
ABSTRAL 200MICROG CPR	COMPRIME	COMPRIME SUBLINGUAL
ABSTRAL 200MICROG CPR	COMPRIME	NE PAS ECRASER
ABSTRAL 300MICROG CPR	COMPRIME	COMPRIME SUBLINGUAL
ABSTRAL 300MICROG CPR	COMPRIME	NE PAS ECRASER
ABSTRAL 400MICROG CPR	COMPRIME	COMPRIME SUBLINGUAL
ABSTRAL 400MICROG CPR	COMPRIME	NE PAS ECRASER
ABSTRAL 600MICROG CPR	COMPRIME	COMPRIME SUBLINGUAL
ABSTRAL 600MICROG CPR	COMPRIME	NE PAS ECRASER
ABSTRAL 800MICROG CPR	COMPRIME	COMPRIME SUBLINGUAL
ABSTRAL 800MICROG CPR	COMPRIME	NE PAS ECRASER
ABUFENE 200MG CPR NSFP	COMPRIME	COMPRIME
ABUFENE 200MG CPR NSFP	COMPRIME	ORAL(E)
ABUFENE 400MG CPR	COMPRIME	COMPRIME
ABUFENE 400MG CPR	COMPRIME	ORAL(E)
AC ACETYLSALICYLIQUE  100MG CPR	COMPRIME	COMPRIME GASTRORESISTANT
AC ACETYLSALICYLIQUE  100MG CPR	COMPRIME	COMPRIME PELLICULE
AC ACETYLSALICYLIQUE  100MG CPR	COMPRIME	NE PAS ECRASER
AC AMINE + VIT + ELECTROLYTE SOL INJ	SOLUTION	SOLUTION POUR PERFUSION
AC AMINES AMINOVEN  5% SOL INJ	SOLUTION	SOLUTION POUR PERFUSION
AC GLUTAMIQUE PHOSPHO NA MG BUV	SOLUTION	SOLUTION BUVABLE
AC IBANDRONIQUE TVC 150MG CPR	COMPRIME	COMPRIME PELLICULE
AC IBANDRONIQUE TVC 150MG CPR	COMPRIME	NE PAS ECRASER
AC LACTIQUE AGT PH=4.5 SOL 1L NSFP	SOLUTION	SOLUTION POUR IRRIGATION VESICALE
AC LACTIQUE AP-HP PH=4.5 SOL NSFP	SOLUTION	SOLUTION POUR APPLICATION CUTANEE
AC LACTIQUE BLZ PH=4.5 SOL NSFP	SOLUTION	SOLUTION POUR APPLICATION CUTANEE
AC LACTIQUE BLZ PH=5 SOL NSFP	SOLUTION	SOLUTION POUR APPLICATION CUTANEE
AC LACTIQUE DEL PH=4.5 SOL NSFP	SOLUTION	SOLUTION POUR APPLICATION CUTANEE
AC LACTIQUE MRM PH=4.5 SOL NSFP	SOLUTION	SOLUTION POUR APPLICATION CUTANEE
AC LACTIQUE PH4.5 BBM SOL 1L NSFP	SOLUTION	SOLUTION POUR IRRIGATION
AC LACTIQUE PH4.5 BBM SOL 500ML NSFP	SOLUTION	SOLUTION POUR IRRIGATION
AC NALIDIXIQUE WTR 1G/4ML INJ NSFP	SOLUTION	SOLUTION INJECTABLE
AC NALIDIXIQUE WTR 1G/4ML INJ NSFP	SOLUTION	SOLUTION POUR PERFUSION
AC SALICY 16.7%+ AC LACT 16.7% SOL	SOLUTION	SOLUTION POUR APPLICATION CUTANEE
AC ZOLEDRONIQUE BGA 4MG/100ML INJ	SOLUTION	SOLUTION A DILUER POUR PERFUSION
