KETUM 2.5% GEL TUBE 60G,MENARINI FRANCE
LITOSMIL 300MG PDR ORALE NSFP,NULL
RIMACTAN 300MG GELULE,SANDOZ
KEAL 2G SUSP BUV SACHET,EG LABO (EUROGENERICS)
HIBEST 0.01MG/0.5ML PDR ET SOL NSFP,AVENTIS PASTEUR MSD SNC
UN ALFA 1 MICROGRAMME/0.5ML SOL INJ,LEO FRANCE SA
UN ALFA 2 MICROGRAMMES/1ML SOL INJ,LEO FRANCE SA
PERMIXON 160MG GELULE,PIERRE FABRE MEDICAMENT
ENO PDR ORALE EFF SACHET NSFP,NULL
SODIUM BIC DEL 8.4% SOL INJ NSFP,NULL
POTASSIUM CHL DEL 7.46% INJ NSFP,NULL
MAGNESIUM SULF AGT 15% INJA 10MLNSFP,AGUETTANT
PENICILLINE SPECIA 5MUI PDR INJ NSFP,NULL
ASPIRINE RCA 500MG CPR,RICHARD
MEPROBAMATE RCA 400MG CPR NSFP,RICHARD
VITAMINE B1 RCA 250MG CPR,RICHARD
VITAMINE B6 RCA 250MG CPR,RICHARD
PREDNISONE RCA 5MG CPR NSFP,RICHARD
BENTOS 0.25% COLLYRE UNIDOSE NSFP,EUROPHTA
BENTOS 0.50% COLLYRE UNIDOSE NSFP,EUROPHTA
THIODERAZINE VIT B1 SOL INJ NSFP,NULL
CYTOTEC 200MICROG CPR,PFIZER
NOOTROPYL 800MG CPR,UCB PHARMA SA
KETODERM 2% CREME,JANSSEN CILAG
CAFEINE PCH 50MG/2ML INJ NSFP,NULL
AMYCOR 1% CREME,MERCK SERONO
TAMOFENE 10MG CPR NSFP,AVENTIS
CAFEINE MRM 100MG/1ML SOL INJ NSFP,NULL
CAFEINE MRM 250MG/1ML SOL INJ NSFP,NULL
PECTIGELS PDR ORALE SACHET NSFP,NULL
CAFEINE DEL 250MG/1ML INJ NSFP,NULL
CAFEINE AGT 250MG/ML SOL INJ NSFP,NULL
MORPHINE CHL LAV 10MG/ML INJ 1ML,CHAIX ET DU MARAIS
MORPHINE CHL LAV 20MG/ML INJ 1ML,CHAIX ET DU MARAIS
MORPHINE CHL FDR 10MG/1ML INJ NSFP,NULL
MORPHINE CHL FDR 20MG/1ML INJ NSFP,NULL
MORPHINE CHL MRM 10MG/ML 1ML NSFP,COOPERATION PHARMACEUTIQUE FRANCAISE
ASAD PMAC RET 1000PNU/ML SUSP NSFP,NULL
MORPHINE CHL CPF 20MG/ML 1ML NSFP,COOPERATION PHARMACEUTIQUE FRANCAISE
MORPHINE CHL PCH 10MG/ML 1ML NSFP,NULL
MORPHINE CHL AGT 20MG/ML 1ML NSFP,AGUETTANT
MORPHINE CHL AGT 10MG/ML 1ML NSFP,AGUETTANT
TRASIPRESSOL CPR NSFP,NULL
IMURAN 50MG PDR INJ NSFP,NULL
IUVACOR 10MG CPR NSFP,IDIS
IUVACOR 10MG CPR NSFP,OPI
IUVACOR 10MG CPR NSFP,INRESSA
IUVACOR 10MG CPR NSFP,INTSEL CHIMOS
FONZYLANE 400MG/120ML SOL INJ NSFP,CEPHALON FRANCE
ALKERAN 50MG/10ML PDR ET SOL INJ,HAC PHARMA
AMYTAL SODIUM 500MG/5ML SOL INJ NSFP,NULL
KEFZOL 500MG PDR ET SOL INJ NSFP,NULL
CAPASTAT 1G/2ML SOL INJ,IDIS
CAPASTAT 1G/2ML SOL INJ,OPI
CAPASTAT 1G/2ML SOL INJ,INRESSA
CAPASTAT 1G/2ML SOL INJ,INTSEL CHIMOS
SECRETOLINE 100UI/10ML PDR INJ NSFP,IDIS
