"0","123I IODE IOBENGUANE ","N/A"
"1","123I IODE IOFUPANE ","N/A"
"2","123I SODIUM IODURE ","N/A"
"3","123L IODE IOFLUPANE ","N/A"
"4","131I SODIUM IODURE ","N/A"
"5","18 F FLUDESOXYGLUCOSE ","N/A"
"6","18 FLT ","FLUOROTHYMIDINE F-18"
"7","18F FLUDESOXYGLUCOSE ","N/A"
"8","3.4 DIAMINOPYRIDINE ","AMINOPYRIDINE"
"9","51CR CHROME EDETATE ","N/A"
"10","51CR SODIUM CHROMATE ","N/A"
"11","57CO COBALT CYANOBALAMINE MBQ ","N/A"
"12","5-AMINOLEVULINIQUE MEDI ","N/A"
"13","68 GA / GE GENERATEUR ","N/A"
"14","6-FLUORO-(18F)-L-DOPA ","N/A"
"15","6-IODOMETHYLNORCHOLESTEROL ","N/A"
"16","99MTC TECHNETIUM DEPREOTIDE ","N/A"
"17","A 313 ","N/A"
"18","A 313 ","RETINOL"
"19","A 313 ","VITAMINE A"
"20","A T S ","N/A"
"21","ABACAVIR ","N/A"
"22","ABACAVIR/LAMIVUDINE/ZIDOVUDINE ","N/A"
"23","ABATACEPT ","N/A"
"24","ABBOTICINE ","N/A"
"25","ABCIXIMAB ","N/A"
"26","ABCYS ET ","N/A"
"27","ABDOSCAN ","N/A"
"28","ABELCET ","AMPHOTERICINE B"
"29","ABELITE ","N/A"
"30","ABEREL ","N/A"
"31","ABEREL TAMPON ","N/A"
"32","ABI ","N/A"
"33","ABILIFY ","ARIPIPRAZOLE"
"34","ABILIFY MAINTENA ","ARIPIPRAZOLE"
"35","ABIOCINE ","N/A"
"36","ABIOSAN ","TETRACYCLINE"
"37","ABIRATERONE ","N/A"
"38","ABIRATERONE JAC ","N/A"
"39","ABLAVAR ","GADOFOSVESET"
"40","ABRAXANE ","PACLITAXEL"
"41","ABSEAMED ","EPOETINE"
"42","ABSEAMED ","N/A"
"43","ABSTRAL ","N/A"
"44","ABUFENE ","ALANINE"
"45","AC ACETYLSALICYLIQUE ","N/A"
"46","AC AMINE + VIT + ELECTROLYTE ","N/A"
"47","AC AMINES AMINOVEN ","N/A"
"48","AC GLUTAMIQUE PHOSPHO ","N/A"
"49","AC IBANDRONIQUE ","N/A"
"50","AC LACTIQUE PH=4.5 ","N/A"
"51","AC LACTIQUE PH=5 ","N/A"
"52","AC LACTIQUE DEL PH=4.5 ","N/A"
"53","AC LACTIQUE PH4.5 ","N/A"
"54","AC NALIDIXIQUE ","ACIDE NALIDIXIQUE"
"55","AC SALICY AC LACT ","N/A"
"56","AC ZOLEDRONIQUE ","ACIDE ZOLEDRONIQUE"
"57","AC ZOLEDRONIQUE IN ","ACIDE ZOLEDRONIQUE"
"58","AC ZOLEDRONIQUE TVP ","ACIDE ZOLEDRONIQUE"
"59","ACADIONE ","TIOPRONINE"
"60","ACAL ","N/A"
"61","ACAMPROSATE ","N/A"
"62","ACARBOSE ","N/A"
"63","ACARBOSE ","ACARBOSE"
"64","ACCUSOL K ","N/A"
"65","ACCUSOL ","N/A"
"66","ACDRIL ","ARGININE"
"67","ACEBUTOLOL ","N/A"
"68","ACEBUTOLOL ","ACEBUTOLOL"
"69","ACEBUTOLOL REF ","N/A"
"70","ACECLOFENAC ","N/A"
"71","ACECLOFENAC ","ACECLOFENAC"
"72","ACEMAP ","N/A"
"73","ACENOCOUMAROL ","N/A"
"74","ACERBINE ","N/A"
"75","ACETAZOLAMIDE ","N/A"
"76","ACETAZOLAMIDE ","ACETAZOLAMIDE"
"77","ACETYLCHOLINE ","N/A"
"78","ACETYLCHOLINE ","ACETYLCHOLINE"
"79","ACETYLCYSTEINE A ","N/A"
"80","ACETYLCYSTEINE ","N/A"
"81","ACETYLCYSTEINE ABBOTT ","ACETYLCYSTEINE"
"82","ACETYLCYSTEINE ","ACETYLCYSTEINE"
"83","ACETYLCYSTEINE SS SUCRE ","ACETYLCYSTEINE"
"84","ACETYLCYSTEINE TUAMINOHEPTANE BENZAL ","N/A"
"85","ACETYLLEUCINE ","N/A"
"86","ACETYLLEUCINE ","ACETYLLEUCINE"
"87","ACETYLSALICYLIQUE + CAFEINE ","N/A"
"88","ACETYLSALICYLIQUE +ASCORB+CAFEI ","N/A"
"89","ACETYLSALICYLIQUE +METOCLO ","N/A"
"90","ACETYLSALICYLIQUE ","N/A"
"91","ACETYLSALICYLIQUE AC ","N/A"
"92","ACETYLSALICYLIQUE ACIDE ","N/A"
"93","ACETYLSALICYLIQUE ASCORBIQUE PARACET ","N/A"
"94","ACEXAMATE ","N/A"
"95","ACICLOVIR ","N/A"
"96","ACICLOVIR OU ","N/A"
"97","ACICLOVIR ","ACICLOVIR"
"98","ACICLOVIVAX ","ACICLOVIR"
"99","ACIDE AMINES AMINOVEN ","N/A"
"100","ACIDE ASCORB ","ACIDE ASCORBIQUE"
"101","ACIDE BORIQUE ","N/A"
"102","ACIDE CHOLIQUE ","N/A"
"103","ACIDE FOLIQUE ","N/A"
"104","ACIDE FOLIQUE ","ACIDE FOLIQUE"
"105","ACIDE FUSIDIQ ","ACIDE FUSIDIQUE"
"106","ACIDE FUSIDIQUE ","N/A"
"107","ACIDE FUSIDIQUE ","ACIDE FUSIDIQUE"
"108","ACIDE FUSIDIQUE ","FUSIDATE"
"109","ACIDE FUSIDIQUE SPI ","ACIDE FUSIDIQUE"
"110","ACIDE MYCOPHENOLIQUE ","N/A"
"111","ACIDE NICOTINIQUE ","N/A"
"112","ACIDE PARA AMINO SERB A.10ML ","N/A"
"113","ACIDE URSODESOX ","ACIDE URSODESOXYCHOLIQUE"
"114","ACIDE URSODESOXYCHOLIQUE ","N/A"
"115","ACIDES AMINES ","N/A"
"116","ACIDES AMINES HYPERAMINE ","N/A"
"117","ACIDES AMINES NUTRILAMINE ","N/A"
"118","ACIDES AMINES VAMINOLACT ","N/A"
"119","ACIDES AMINES VINTENE ","N/A"
"120","ACIDES OMEGA-3 TOCOP ALFA ","N/A"
"121","ACIDRINE A CROQUER ","N/A"
"122","ACIDRINE A CROQUER ","ALUMINIUM"
"123","ACIDRINE A CROQUER ","GALACTANE"
"124","ACIDRINE A CROQUER ","GLYCINE"
"125","ACIDUM PHOSP ","N/A"
"126","ACITRETINE ","N/A"
"127","ACLACINOMYCINE ","ACLARUBICINE"
"128","ACLASTA ","ACIDE ZOLEDRONIQUE"
"129","ACLOSONE ","N/A"
"130","ACLOTINE ET ","ANTITHROMBINE HUMAINE"
"131","ACNELINE ","N/A"
"132","ACNELINE ","MINOCYCLINE"
"133","ACNESTROL ","N/A"
"134","ACNU ASTA ","NIMUSTINE"
"135","ACOMPLIA ","RIMONABANT"
"136","ACONITUM ","N/A"
"137","ACSET ET ","FACTEUR DE COAGULATION HUMAIN"
"138","ACSET + ","FACTEUR DE COAGULATION HUMAIN"
"139","ACT HIB MICROG/0.5ML ","ANTIGENE"
"140","ACT HIB MICROG/0.5ML ","INFLUENZAE TETANOS"
"141","ACTAPULGITE ","N/A"
"142","ACTEBRAL ","CYPRODENATE"
"143","ACTEE GRAPPES ","N/A"
"144","ACTEMRA ","N/A"
"145","ACTHEANE ","N/A"
"146","ACTI ","N/A"
"147","ACTIBIL ","ARTICHAUT"
"148","ACTIBIL ","FUMETERRE"
"149","ACTICARBINE ","CHARBON"
"150","ACTICARBINE ","PAPAVERINE"
"151","ACTIDILON ","N/A"
"152","ACTIDILON ","TRIPROLIDINE"
"153","ACTIDILON HYDROCORTISONE ","N/A"
"154","ACTIFED ALL CETIRIZINE ","CETIRIZINE"
"155","ACTIFED ","PARACETAMOL"
"156","ACTIFED ","PSEUDOEPHEDRINE"
"157","ACTIFED ","TRIPROLIDINE"
"158","ACTIFED ETATS GRIPP ","ACIDE ASCORBIQUE"
"159","ACTIFED ETATS GRIPP ","CHLORPHENAMINE"
"160","ACTIFED ETATS GRIPP ","PARACETAMOL"
"161","ACTIFED EXPECT AD ","N/A"
"162","ACTIFED JOUR ET NUIT ","N/A"
"163","ACTIFED RHINITE ALLERGIQUE ","CETIRIZINE"
"164","ACTIFED RHINITE ALLERGIQUE ","PSEUDOEPHEDRINE"
"165","ACTIFED RHUME ","PARACETAMOL"
"166","ACTIFED RHUME ","PSEUDOEPHEDRINE"
"167","ACTIFED RHUME ","TRIPROLIDINE"
"168","ACTIFED RHUME JOUR ET NUIT ","N/A"
"169","ACTIFED ","N/A"
"170","ACTIFED TOUX SECHE ","DEXTROMETHORPHANE"
"171","ACTIFED TOUX SECHE ","TRIPROLIDINE"
"172","ACTIFED TOUX SECHE ","N/A"
"173","ACTIFEDSIGN ","ACIDE ASCORBIQUE"
"174","ACTIFEDSIGN ","CHLORPHENAMINE"
"175","ACTIFEDSIGN ","PARACETAMOL"
"176","ACTIGAM ","GLUCOSE"
"177","ACTIGESS ","ACIDE CITRIQUE"
"178","ACTIGESS ","BETAINE"
"179","ACTIGESS ","MAGNESIUM"
"180","ACTIGESS ","ORNITHINE"
"181","ACTIGESS ","SORBITOL"
"182","ACTILYSE ","ALTEPLASE"
"183","ACTINOQUINOL PHENYLEPHEDRINE ","N/A"
"184","ACTIPHOS ","N/A"
"185","ACTIQ ","N/A"
"186","ACTIQ ","FENTANYL"
"187","ACTISANE ARTICUL ","N/A"
"188","ACTISANE FATIGUE ","N/A"
"189","ACTISANE HEMO JAMB ","N/A"
"190","ACTISANE NERVOSITE ","N/A"
"191","ACTISANE SOMMEIL ","N/A"
"192","ACTISKENAN ","MORPHINE"
"193","ACTISOUFRE OU ","N/A"
"194","ACTISOUFRE OU ","SACCHAROMYCES"
"195","ACTISOUFRE OU ","SODIUM"
"196","ACTISPIRINE ","ACIDE ACETYLSALICYLIQUE"
"197","ACTITONIC AD ","N/A"
"198","ACTITONIC ","N/A"
"199","ACTIVAROL C ","N/A"
"200","ACTIVAROL ","N/A"
"201","ACTIVELLE ","N/A"
"202","ACTIVELLE ","NORETHISTERONE"
"203","ACTIVIR AVEC POMPE ","ACICLOVIR"
"204","ACTIVIR SANS POMPE ","ACICLOVIR"
"205","ACTIVOX AD TX SECHE ","DEXTROMETHORPHANE"
"206","ACTIVOX ERYSIM MENTHE EUCAL ","ERYSIUM"
"207","ACTIVOX ERYSIM MENTHE EUCAL ","MATRICAIRE"
"208","ACTIVOX EXPECT AD ","CARBOCISTEINE"
"209","ACTIVOX LIERRE ","LIERRE"
"210","ACTIVOX LIERRE SS ","LIERRE"
"211","ACTIVOX MIEL CITRON SS ","ERYSIUM"
"212","ACTIVOX MIEL CITRON SS ","MATRICAIRE"
"213","ACTIVOX ","N/A"
"214","ACTONEL ","RISEDRONATE"
"215","ACTONEL (AIP) (BBA IT) ","RISEDRONATE"
"216","ACTONEL ","N/A"
"217","ACTONEL (AIP) (BBA IT) ","N/A"
"218","ACTONELCOMBI ","N/A"
"219","ACTONELCOMBI ","COLECALCIFEROL"
"220","ACTONELCOMBI ","RISEDRONATE"
"221","ACTOS ","N/A"
"222","ACTOSOLV UROKINASE ","UROKINASE"
"223","ACTRAPHANE HM ","N/A"
"224","ACTRAPID ","INSULINE HUMAINE"
"225","ACTRAPID FLEXPEN ","INSULINE HUMAINE"
"226","ACTRAPID HM ","N/A"
"227","ACTRAPID HM GE ","INSULINE HUMAINE"
"228","ACTRAPID INNOLET ","INSULINE HUMAINE"
"229","ACTRAPID MC ","N/A"
"230","ACTRAPID ","N/A"
"231","ACTRAPID S STYNSFP ","INSULINE HUMAINE"
"232","ACTRON ","ACIDE ACETYLSALICYLIQUE"
"233","ACTRON ","CAFEINE"
"234","ACTRON ","PARACETAMOL"
"235","ACTRON EFFIX ","KETOPROFENE"
"236","ACUILIX ","N/A"
"237","ACUILIX ","HYDROCHLOROTHIAZIDE"
"238","ACUITEL ","N/A"
"239","ACULAR ","KETOROLAC"
"240","ACULAR ","TROMETAMOL"
"241","ACUPAN ","NEFOPAM"
"242","ACYLANIDE ","DIGITOXINE"
"243","ADAGEN ","PEGADEMASE BOVINE"
"244","ADALATE ","N/A"
"245","ADALATE ","NIFEDIPINE"
"246","ADALGUR ","GLAFENINE"
"247","ADALGUR ","MEPROBAMATE"
"248","ADALGUR ","THIOCOLCHICOSIDE"
"249","ADALIMUMAB ","N/A"
"250","ADANCOR ","NICORANDIL"
"251","ADAPALENE ","N/A"
"252","ADAPALENE PEROXYDE DE BENZOYL ","N/A"
"253","ADAPALENE ","ADAPALENE"
"254","ADAPTINOL ","XANTOFYLE"
"255","ADARTREL ","N/A"
"256","ADARTREL ","ROPINIROLE"
"257","ADASUVE UNIDOS ","LOXAPINE"
"258","ADCETRIS ","BRENTUXIMAB VEDOTIN"
"259","ADCIRCA ","TADALAFIL"
"260","ADEFOVIR DIPIVOXIL ","N/A"
"261","ADEFOVIR DIPIVOXIL GILEAD ","ADEFOVIR"
"262","ADEMPAS ","RIOCIGUAT"
"263","ADENA C ","ACIDE ASCORBIQUE"
"264","ADENA C ","ACIDE DESOXYRIBONUCLEIQUE"
"265","ADENOCYNESINE ","N/A"
"266","ADENOSCAN ","ADENOSINE"
"267","ADENOSINE BASE ","N/A"
"268","ADENOSINE MONOPHOSPHATE ","N/A"
"269","ADENOSINE TRIPHOSPHATE ","N/A"
"270","ADENURIC ","FEBUXOSTAT"
