"0","123I IODE IOBENGUANE ",0,"N/A",
"1","123I IODE IOFUPANE ",0,"N/A",
"2","123I SODIUM IODURE ",0,"N/A",
"3","123L IODE IOFLUPANE ",0,"N/A",
"4","131I SODIUM IODURE ",0,"N/A",
"5","18 F FLUDESOXYGLUCOSE ",0,"N/A",
"6","18 FLT ",1,"FLUOROTHYMIDINE F-18",
"7","18F FLUDESOXYGLUCOSE ",0,"N/A",
"8","3.4 DIAMINOPYRIDINE ",1,"AMINOPYRIDINE",
"9","51CR CHROME EDETATE ",0,"N/A",
"10","51CR SODIUM CHROMATE ",0,"N/A",
"11","57CO COBALT CYANOBALAMINE MBQ ",0,"N/A",
"12","5-AMINOLEVULINIQUE MEDI ",0,"N/A",
"13","68 GA / GE GENERATEUR ",0,"N/A",
"14","6-FLUORO-(18F)-L-DOPA ",0,"N/A",
"15","6-IODOMETHYLNORCHOLESTEROL ",0,"N/A",
"16","99MTC TECHNETIUM DEPREOTIDE ",0,"N/A",
"17","A 313 ",2,"N/A","RETINOL","VITAMINE A",
"18","A T S ",0,"N/A",
"19","ABACAVIR ",0,"N/A",
"20","ABACAVIR/LAMIVUDINE/ZIDOVUDINE ",0,"N/A",
"21","ABATACEPT ",0,"N/A",
"22","ABBOTICINE ",0,"N/A",
"23","ABCIXIMAB ",0,"N/A",
"24","ABCYS ",0,"N/A",
"25","ABDOSCAN ",0,"N/A",
"26","ABELCET ",1,"AMPHOTERICINE B",
"27","ABELITE ",0,"N/A",
"28","ABEREL ",0,"N/A",
"29","ABEREL TAMPON ",0,"N/A",
"30","ABI ",0,"N/A",
"31","ABILIFY ",1,"ARIPIPRAZOLE",
"32","ABILIFY MAINTENA ",1,"ARIPIPRAZOLE",
"33","ABIOCINE ",0,"N/A",
"34","ABIOSAN ",1,"TETRACYCLINE",
"35","ABIRATERONE ",0,"N/A",
"36","ABIRATERONE JAC ",0,"N/A",
"37","ABLAVAR ",1,"GADOFOSVESET",
"38","ABRAXANE ",1,"PACLITAXEL",
"39","ABSEAMED ",2,"EPOETINE","N/A",
"40","ABSTRAL ",0,"N/A",
"41","ABUFENE ",1,"ALANINE",
"42","AC ACETYLSALICYLIQUE ",0,"N/A",
"43","AC AMINE + VIT + ELECTROLYTE ",0,"N/A",
"44","AC AMINES AMINOVEN ",0,"N/A",
"45","AC GLUTAMIQUE PHOSPHO ",0,"N/A",
"46","AC IBANDRONIQUE ",0,"N/A",
"47","AC LACTIQUE PH=4.5 ",0,"N/A",
"48","AC LACTIQUE PH=5 ",0,"N/A",
"49","AC LACTIQUE DEL PH=4.5 ",0,"N/A",
"50","AC LACTIQUE PH4.5 ",0,"N/A",
"51","AC NALIDIXIQUE ",1,"ACIDE NALIDIXIQUE",
"52","AC SALICY AC LACT ",0,"N/A",
"53","AC ZOLEDRONIQUE ",1,"ACIDE ZOLEDRONIQUE",
"54","AC ZOLEDRONIQUE IN ",1,"ACIDE ZOLEDRONIQUE",
"55","AC ZOLEDRONIQUE TVP ",1,"ACIDE ZOLEDRONIQUE",
"56","ACADIONE ",1,"TIOPRONINE",
"57","ACAL ",0,"N/A",
"58","ACAMPROSATE ",0,"N/A",
"59","ACARBOSE ",1,"N/A","ACARBOSE",
"60","ACCUSOL K ",0,"N/A",
"61","ACCUSOL ",0,"N/A",
"62","ACDRIL ",1,"ARGININE",
"63","ACEBUTOLOL ",1,"N/A","ACEBUTOLOL",
"64","ACEBUTOLOL REF ",0,"N/A",
"65","ACECLOFENAC ",1,"N/A","ACECLOFENAC",
"66","ACEMAP ",0,"N/A",
"67","ACENOCOUMAROL ",0,"N/A",
"68","ACERBINE ",0,"N/A",
"69","ACETAZOLAMIDE ",1,"N/A","ACETAZOLAMIDE",
"70","ACETYLCHOLINE ",1,"N/A","ACETYLCHOLINE",
"71","ACETYLCYSTEINE ",1,"N/A","ACETYLCYSTEINE",
"72","ACETYLCYSTEINE ABBOTT ",1,"ACETYLCYSTEINE",
"73","ACETYLCYSTEINE SS SUCRE ",1,"ACETYLCYSTEINE",
"74","ACETYLCYSTEINE TUAMINOHEPTANE BENZAL ",0,"N/A",
"75","ACETYLLEUCINE ",1,"N/A","ACETYLLEUCINE",
"76","ACETYLSALICYLIQUE + CAFEINE ",0,"N/A",
"77","ACETYLSALICYLIQUE +ASCORB+CAFEI ",0,"N/A",
"78","ACETYLSALICYLIQUE +METOCLO ",0,"N/A",
"79","ACETYLSALICYLIQUE ",0,"N/A",
"80","ACETYLSALICYLIQUE AC ",0,"N/A",
"81","ACETYLSALICYLIQUE ACIDE ",0,"N/A",
"82","ACETYLSALICYLIQUE ASCORBIQUE PARACET ",0,"N/A",
"83","ACEXAMATE ",0,"N/A",
"84","ACICLOVIR ",1,"N/A","ACICLOVIR",
"85","ACICLOVIVAX ",1,"ACICLOVIR",
"86","ACIDE AMINES AMINOVEN ",0,"N/A",
"87","ACIDE ASCORB ",1,"ACIDE ASCORBIQUE",
"88","ACIDE BORIQUE ",0,"N/A",
"89","ACIDE CHOLIQUE ",0,"N/A",
"90","ACIDE FOLIQUE ",1,"N/A","ACIDE FOLIQUE",
"91","ACIDE FUSIDIQ ",1,"ACIDE FUSIDIQUE",
"92","ACIDE FUSIDIQUE ",2,"N/A","ACIDE FUSIDIQUE","FUSIDATE",
"93","ACIDE FUSIDIQUE SPI ",1,"ACIDE FUSIDIQUE",
"94","ACIDE MYCOPHENOLIQUE ",0,"N/A",
"95","ACIDE NICOTINIQUE ",0,"N/A",
"96","ACIDE PARA AMINO SERB A.10ML ",0,"N/A",
"97","ACIDE URSODESOX ",1,"ACIDE URSODESOXYCHOLIQUE",
"98","ACIDE URSODESOXYCHOLIQUE ",0,"N/A",
"99","ACIDES AMINES ",0,"N/A",
"100","ACIDES AMINES HYPERAMINE ",0,"N/A",
