123I IODE IOBENGUANE 74 MBQ/ML  INJ,123I IODE IOBENGUANE ,74 MBQ/ML ,, 
123I IODE IOFUPANE 74 MBQ/ML INJ,123I IODE IOFUPANE ,74 MBQ/ML ,,
123I SODIUM IODURE SOL INJ,123I SODIUM IODURE ,,,
123L IODE IOFLUPANE 74MBQ/ML SOL INJ,123L IODE IOFLUPANE ,74MBQ/ML ,,
131I SODIUM IODURE GELULE,131I SODIUM IODURE ,,,
131I SODIUM IODURE SOL BUV,131I SODIUM IODURE ,,,
18 F FLUDESOXYGLUCOSE 600MBQ/ML INJ,18 F FLUDESOXYGLUCOSE ,600MBQ/ML ,,
18 FLT 222MBQ/ML SOL INJ FL,18 FLT ,222MBQ/ML ,,
18F FLUDESOXYGLUCOSE 250 MBQ/ML INJ,18F FLUDESOXYGLUCOSE ,250 MBQ/ML ,,
3.4 DIAMINOPYRIDINE 10MG CPR NSFP,3.4 DIAMINOPYRIDINE ,10MG ,,
5-AMINOLEVULINIQUE EMPLATRE MEDI,5-AMINOLEVULINIQUE MEDI ,,,
51CR CHROME EDETATE 37 MBQ/ML INJ,51CR CHROME EDETATE ,37 MBQ/ML ,,
51CR SODIUM CHROMATE 37 MBQ/ML INJ,51CR SODIUM CHROMATE ,37 MBQ/ML ,,
57CO COBALT CYANOBALAMINE 18.5 MBQ,57CO COBALT CYANOBALAMINE MBQ ,18.5 ,,
6-FLUORO-(18F)-L-DOPA 0.3GBq/ML SOL,6-FLUORO-(18F)-L-DOPA ,0.3GBq/ML ,,
6-IODOMETHYLNORCHOLESTEROL SOL INJ,6-IODOMETHYLNORCHOLESTEROL ,,,
68 GA / 68 GE 1.1 GBQ GENERATEUR,68 GA / GE GENERATEUR ,68 1.1 ,,
99MTC TECHNETIUM DEPREOTIDE 47,99MTC TECHNETIUM DEPREOTIDE ,47 ,,
A 313 45000UI/0.75ML SOL INJ NSFP,A 313 ,,,
A 313 50 000 UI CAPSULE,A 313 ,45000UI/0.75ML ,,
A 313 50000UI/1ML SOL NSFP,A 313 ,50 000 UI ,,
A 313 POMMADE,A 313 ,50000UI/1ML ,,
A T S SOL FL 45ML NSFP,A T S ,45ML ,,
ABACAVIR 20MG/ML SOL BUV,ABACAVIR ,20MG/ML ,,
ABACAVIR 300MG CPR,ABACAVIR ,300MG ,,
ABACAVIR 600MG/LAMIVUDINE 300MG CPR,ABACAVIR ,600MG/LAMIVUDINE 300MG ,,
ABACAVIR/LAMIVUDINE/ZIDOVUDINE CPR,ABACAVIR/LAMIVUDINE/ZIDOVUDINE ,,,
ABATACEPT 125MG PDR INJ,ABATACEPT ,125MG ,,
ABATACEPT 250MG PDR INJ,ABATACEPT ,250MG ,,
ABBOTICINE 1% POMMADE NSFP,ABBOTICINE ,1% ,,
ABBOTICINE 200MG CPR NSFP,ABBOTICINE ,200MG ,,
ABBOTICINE 200MG/5ML GRANULE FL NSFP,ABBOTICINE ,200MG/5ML ,,
ABCIXIMAB 10MG/5ML SOL INJ,ABCIXIMAB ,10MG/5ML ,,
ABCYS PDR ET SOL AURICULAIRE NSFP,ABCYS ,,,
ABDOSCAN 23.4MG GRANULES SAC NSFP,ABDOSCAN ,23.4MG ,,
ABELCET 5MG/ML SUSP INJ FL 10ML NC,ABELCET ,5MG/ML 10ML ,,
ABELCET 5MG/ML SUSP INJ FL 20ML,ABELCET ,5MG/ML 20ML ,,
ABELITE PDR SUSP BUV NSFP,ABELITE ,,,
ABELITE SUSP BUV NC,ABELITE ,,,
ABEREL 0.025% GEL NSFP,ABEREL ,0.025% ,,
ABEREL 0.1% SOL NSFP,ABEREL ,0.1% ,,
ABEREL 0.2% SOL NSFP,ABEREL ,0.2% ,,
ABEREL 0.3% SOL NSFP,ABEREL ,0.3% ,,
ABEREL 0.7MG TAMPON NSFP,ABEREL TAMPON ,0.7MG ,,
ABI 75% EMULSION 175G NSFP,ABI ,75% 175G ,,
ABI 75% EMULSION 85G NSFP,ABI ,75% 85G ,,
ABILIFY 10MG CPR,ABILIFY ,10MG ,,
ABILIFY 10MG CPR DISP,ABILIFY ,10MG ,,
ABILIFY 15MG CPR,ABILIFY ,15MG ,,
ABILIFY 15MG CPR DISP,ABILIFY ,15MG ,,
ABILIFY 5MG CPR,ABILIFY ,5MG ,,
ABILIFY 7.5MG/ML SOL INJ FL,ABILIFY ,7.5MG/ML ,,
ABILIFY MAINTENA LP 300MG/ML SOL INJ,ABILIFY MAINTENA ,300MG/ML ,,
ABILIFY MAINTENA LP 400MG/ML SOL INJ,ABILIFY MAINTENA ,400MG/ML ,,
ABIOCINE 250MG CPR NSFP,ABIOCINE ,250MG ,,
ABIOSAN 250MG CPR NSFP,ABIOSAN ,250MG ,,
ABIRATERONE 250MG CPR,ABIRATERONE ,250MG ,,
ABIRATERONE JAC 250MG CPR NSFP,ABIRATERONE JAC ,250MG ,,
ABLAVAR 0.25 MMOL/ML SOL INJ NSFP,ABLAVAR ,0.25 MMOL/ML ,,
ABRAXANE 100MG PDR INJ,ABRAXANE ,100MG ,,
ABSEAMED 10 000UI/1ML SOL INJ SER NC,ABSEAMED ,10 000UI/1ML ,,
ABSEAMED 1000UI/0.5ML SOL INJ NC,ABSEAMED ,1000UI/0.5ML ,,
ABSEAMED 2000UI/1ML SOL INJ SER NC,ABSEAMED ,2000UI/1ML ,,
ABSEAMED 3000UI/0.3ML SOL INJ SER NC,ABSEAMED ,3000UI/0.3ML ,,
ABSEAMED 4000UI/0.4ML SOL INJ SER NC,ABSEAMED ,4000UI/0.4ML ,,
