123I IODE IOBENGUANE  ,74 MBQ/ML ,INJ 
123I IODE IOFUPANE ,74 MBQ/ML ,INJ 
123I SODIUM IODURE ,,SOL INJ 
123L IODE IOFLUPANE ,74MBQ/ML ,SOL INJ 
131I SODIUM IODURE ,,GELULE 
131I SODIUM IODURE ,,SOL BUV 
18 F FLUDESOXYGLUCOSE ,600MBQ/ML ,INJ 
18 FLT ,222MBQ/ML ,SOL INJ FL 
18F FLUDESOXYGLUCOSE ,250 MBQ/ML ,INJ 
3.4 DIAMINOPYRIDINE ,10MG ,CPR NSFP 
5-AMINOLEVULINIQUE MEDI ,,EMPLATRE 
51CR CHROME EDETATE ,37 MBQ/ML ,INJ 
51CR SODIUM CHROMATE ,37 MBQ/ML ,INJ 
57CO COBALT CYANOBALAMINE MBQ ,18.5 ,
6-FLUORO-(18F)-L-DOPA ,0.3GBq/ML ,SOL 
6-IODOMETHYLNORCHOLESTEROL ,,SOL INJ 
68 GA / GE GENERATEUR ,68 1.1 ,GBQ 
99MTC TECHNETIUM DEPREOTIDE ,47 ,
A 313 ,,POMMADE 
A 313 ,45000UI/0.75ML ,SOL INJ NSFP 
A 313 ,50 000 UI ,CAPSULE 
A 313 ,50000UI/1ML ,SOL NSFP 
A T S ,45ML ,SOL FL NSFP 
ABACAVIR ,20MG/ML ,SOL BUV 
ABACAVIR ,300MG ,CPR 
ABACAVIR ,600MG/LAMIVUDINE 300MG ,CPR 
ABACAVIR/LAMIVUDINE/ZIDOVUDINE ,,CPR 
ABATACEPT ,125MG ,PDR INJ 
ABATACEPT ,250MG ,PDR INJ 
ABBOTICINE ,1% ,POMMADE NSFP 
ABBOTICINE ,200MG ,CPR NSFP 
ABBOTICINE ,200MG/5ML ,GRANULE FL NSFP 
ABCIXIMAB ,10MG/5ML ,SOL INJ 
ABCYS ,,PDR ET SOL AURICULAIRE NSFP 
ABDOSCAN SAC ,23.4MG ,GRANULES NSFP 
ABELCET ,5MG/ML ,SUSP INJ FL 10ML NC 
ABELCET ,5MG/ML ,SUSP INJ FL 20ML 
ABELITE ,,PDR SUSP BUV NSFP 
ABELITE ,,SUSP BUV NC 
ABEREL ,0.025% ,GEL NSFP 
ABEREL ,0.1% ,SOL NSFP 
ABEREL ,0.2% ,SOL NSFP 
ABEREL ,0.3% ,SOL NSFP 
ABEREL TAMPON ,0.7MG ,NSFP 
ABI ,75% ,EMULSION 175G NSFP 
ABI ,75% ,EMULSION 85G NSFP 
ABILIFY ,10MG ,CPR 
ABILIFY ,10MG ,CPR DISP 
ABILIFY ,15MG ,CPR 
ABILIFY ,15MG ,CPR DISP 
ABILIFY ,5MG ,CPR 
ABILIFY ,7.5MG/ML ,SOL INJ FL 
ABILIFY MAINTENA LP ,300MG/ML ,SOL INJ 
ABILIFY MAINTENA LP ,400MG/ML ,SOL INJ 
ABIOCINE ,250MG ,CPR NSFP 
ABIOSAN ,250MG ,CPR NSFP 
ABIRATERONE ,250MG ,CPR 
ABIRATERONE JAC ,250MG ,CPR NSFP 
ABLAVAR ,0.25 MMOL/ML ,SOL INJ NSFP 
ABRAXANE ,100MG ,PDR INJ 
