123I IODE IOBENGUANE  : 1
123I IODE IOFUPANE  : 1
123I SODIUM IODURE  : 1
123L IODE IOFLUPANE  : 1
131I SODIUM IODURE  : 2
18 F FLUDESOXYGLUCOSE  : 1
18 FLT  : 1
18F FLUDESOXYGLUCOSE  : 1
3.4 DIAMINOPYRIDINE  : 1
5-AMINOLEVULINIQUE MEDI  : 1
51CR CHROME EDETATE  : 1
51CR SODIUM CHROMATE  : 1
57CO COBALT CYANOBALAMINE MBQ  : 1
6-FLUORO-(18F)-L-DOPA  : 1
6-IODOMETHYLNORCHOLESTEROL  : 1
68 GA / GE GENERATEUR  : 1
99MTC TECHNETIUM DEPREOTIDE  : 1
A 313  : 4
A T S  : 1
ABACAVIR  : 3
ABACAVIR/LAMIVUDINE/ZIDOVUDINE  : 1
ABATACEPT  : 2
ABBOTICINE  : 3
ABCIXIMAB  : 1
ABCYS  : 1
ABDOSCAN  : 1
ABELCET  : 2
ABELITE  : 2
ABEREL  : 4
ABEREL TAMPON  : 1
ABI  : 2
ABILIFY  : 6
ABILIFY MAINTENA  : 2
ABIOCINE  : 1
ABIOSAN  : 1
ABIRATERONE  : 1
ABIRATERONE JAC  : 1
ABLAVAR  : 1
ABRAXANE  : 1
ABSEAMED  : 8
ABSTRAL  : 6
ABUFENE  : 2
AC ACETYLSALICYLIQUE  : 1
AC AMINE + VIT + ELECTROLYTE  : 1
AC AMINES AMINOVEN  : 1
AC GLUTAMIQUE PHOSPHO  : 1
AC IBANDRONIQUE  : 1
AC LACTIQUE DEL PH=4.5  : 1
AC LACTIQUE PH4.5  : 2
AC LACTIQUE PH=4.5  : 4
AC LACTIQUE PH=5  : 1
AC NALIDIXIQUE  : 1
AC SALICY AC LACT  : 1
AC ZOLEDRONIQUE  : 7
AC ZOLEDRONIQUE IN  : 1
AC ZOLEDRONIQUE TVP  : 1
ACADIONE  : 1
ACAL  : 1
ACAMPROSATE  : 1
ACARBOSE  : 14
ACCUSOL  : 1
ACCUSOL K  : 2
ACDRIL  : 1
ACEBUTOLOL  : 43
ACEBUTOLOL REF  : 1
ACECLOFENAC  : 5
ACEMAP  : 2
ACENOCOUMAROL  : 2
ACERBINE  : 1
ACETAZOLAMIDE  : 4
ACETYLCHOLINE  : 2
ACETYLCYSTEINE  : 39
ACETYLCYSTEINE ABBOTT  : 1
ACETYLCYSTEINE SS SUCRE  : 2
ACETYLCYSTEINE TUAMINOHEPTANE BENZAL  : 1
ACETYLLEUCINE  : 6
ACETYLSALICYLIQUE  : 1
ACETYLSALICYLIQUE + CAFEINE  : 1
ACETYLSALICYLIQUE +ASCORB+CAFEI  : 1
ACETYLSALICYLIQUE +METOCLO  : 1
ACETYLSALICYLIQUE AC  : 4
ACETYLSALICYLIQUE ACIDE  : 3
ACETYLSALICYLIQUE ASCORBIQUE PARACET  : 1
ACEXAMATE  : 1
ACICLOVIR  : 88
ACICLOVIVAX  : 1
ACIDE AMINES AMINOVEN  : 1
ACIDE ASCORB  : 1
ACIDE BORIQUE  : 1
ACIDE CHOLIQUE  : 2
ACIDE FOLIQUE  : 9
ACIDE FUSIDIQ  : 1
ACIDE FUSIDIQUE  : 6
ACIDE FUSIDIQUE SPI  : 1
ACIDE MYCOPHENOLIQUE  : 2
ACIDE NICOTINIQUE  : 1
ACIDE PARA AMINO SERB A.10ML  : 1
ACIDE URSODESOX  : 3
ACIDE URSODESOXYCHOLIQUE  : 4
ACIDES AMINES  : 5
ACIDES AMINES HYPERAMINE  : 2
ACIDES AMINES NUTRILAMINE  : 2
ACIDES AMINES VAMINOLACT  : 1
ACIDES AMINES VINTENE  : 1
ACIDES OMEGA-3 TOCOP ALFA  : 1
ACIDRINE CROQUER  : 1
ACIDUM PHOSP  : 7
ACITRETINE  : 2
ACLACINOMYCINE  : 1
ACLASTA  : 1
ACLOSONE  : 2
ACLOTINE  : 2
ACNELINE  : 2
ACNESTROL  : 1
ACNU ASTA  : 1
ACOMPLIA  : 1
ACONITUM  : 6
ACSET  : 1
ACSET +  : 1
ACT HIB MICROG/0.5ML  : 1
ACTAPULGITE  : 1
ACTEBRAL  : 2
ACTEE GRAPPES  : 1
ACTEMRA  : 1
ACTHEANE  : 1
ACTI  : 2
ACTIBIL  : 1
ACTICARBINE  : 1
ACTIDILON  : 3
ACTIDILON HYDROCORTISONE  : 1
ACTIFED  : 2
ACTIFED ALL CETIRIZINE  : 1
ACTIFED ETATS GRIPP  : 1
ACTIFED EXPECT AD  : 1
ACTIFED JOUR ET NUIT  : 1
ACTIFED RHINITE ALLERGIQUE  : 1
ACTIFED RHUME  : 1
ACTIFED RHUME JOUR ET NUIT  : 1
ACTIFED TOUX SECHE  : 2
ACTIFEDSIGN  : 1
ACTIGAM  : 1
ACTIGESS  : 1
ACTILYSE  : 4
ACTINOQUINOL PHENYLEPHEDRINE  : 1
ACTIPHOS  : 1
ACTIQ  : 6
ACTISANE ARTICUL  : 1
ACTISANE FATIGUE  : 1
ACTISANE HEMO JAMB  : 1
ACTISANE NERVOSITE  : 1
ACTISANE SOMMEIL  : 1
ACTISKENAN  : 4
ACTISOUFRE  : 2
ACTISPIRINE  : 1
ACTITONIC  : 1
ACTITONIC AD  : 1
ACTIVAROL  : 1
ACTIVAROL C  : 2
ACTIVELLE  : 1
ACTIVIR AVEC POMPE  : 1
ACTIVIR SANS POMPE  : 1
ACTIVOX  : 2
ACTIVOX AD TX SECHE  : 1
ACTIVOX ERYSIM MENTHE EUCAL  : 1
ACTIVOX EXPECT AD  : 1
ACTIVOX LIERRE  : 2
ACTIVOX LIERRE SS  : 1
ACTIVOX MIEL CITRON SS  : 1
ACTONEL  : 4
ACTONEL (AIP) (BBA IT)  : 2
ACTONELCOMBI  : 1
ACTOS  : 2
ACTOSOLV UROKINASE  : 4
ACTRAPHANE HM  : 2
ACTRAPID  : 7
ACTRAPID FLEXPEN  : 1
ACTRAPID HM  : 3
ACTRAPID HM GE  : 1
ACTRAPID INNOLET  : 2
ACTRAPID MC  : 1
ACTRAPID S STYNSFP  : 1
ACTRON  : 1
ACTRON EFFIX  : 1
